STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010711,0.00,0.0,0.0,69,78,60
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010712,0.00,0.0,0.0,69,80,58
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010713,0.00,0.0,0.0,68,79,57
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010714,0.00,0.0,0.0,74,87,61
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010715,0.00,0.0,0.0,74,88,59
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010716,0.00,0.0,0.0,75,86,63
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010717,0.45,0.0,0.0,79,86,71
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010718,0.04,0.0,0.0,78,85,70
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010719,0.00,0.0,0.0,77,88,66
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010720,0.00,0.0,0.0,82,93,70
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010721,0.00,0.0,0.0,83,93,73
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010722,1.30,0.0,0.0,82,95,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010723,0.09,0.0,0.0,83,92,73
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010724,0.02,0.0,0.0,79,90,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010725,0.82,0.0,0.0,71,75,67
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010726,0.00,0.0,0.0,73,78,68
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010727,0.00,0.0,0.0,71,78,64
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010728,0.00,0.0,0.0,72,78,65
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010729,0.00,0.0,0.0,78,90,65
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010730,0.00,0.0,0.0,80,90,70
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010731,0.00,0.0,0.0,83,94,71
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010801,0.00,0.0,0.0,84,92,76
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010802,1.21,0.0,0.0,79,84,73
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010803,0.00,0.0,0.0,75,84,66
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010804,0.00,0.0,0.0,76,87,64
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010805,0.00,0.0,0.0,76,89,63
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010806,0.00,0.0,0.0,81,92,70
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010807,1.09,0.0,0.0,85,95,75
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010808,0.00,0.0,0.0,85,93,76
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010809,0.47,0.0,0.0,84,95,72
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20010810,0.00,0.0,0.0,70,77,62
